Layer,Baseline,Conditional
1,4.523668658876501,4.5128963202186965
2,4.561203918980489,4.541742602915952
3,4.580853261015223,4.525970197255575
4,4.581901851281089,4.559343760050386
5,4.61712636015223,4.552838228987993
6,4.618174112885935,4.558216022995283
7,4.650286771012007,4.558741993192538
8,4.601287789451115,4.564781856373285
9,4.611484743514151,4.55182565260506
10,4.636081806791381,4.574451165174743
11,4.6339846262596485,4.590790161342196
12,4.7173454585656085,4.594718187178388
