Layer,Baseline,Conditional
1,4.425903948461621,4.423959617549314
2,4.5000703527015435,4.444524382236278
3,4.465195094741638,4.39640271561428
4,4.498047712532161,4.427024566493353
5,4.517684072818396,4.424464649442538
6,4.520227657992067,4.3518614989815605
7,4.512996824078044,4.251077066359348
8,4.512914745926244,4.41258425573542
9,4.514836882236278,4.361145542988851
10,4.509042834744855,4.356666839756647
11,4.488325639204546,4.410307005789022
12,4.594502522646869,4.462469765088979
