Layer,Baseline,Conditional
1,4.466122661610206,4.465973580885506
2,4.553990673241852,4.518542962049743
3,4.556417003912951,4.501886541193182
4,4.563307381003431,4.519711738180746
5,4.589469791890009,4.539590145261578
6,4.6233014847770155,4.532235356587693
