Layer,Baseline,Conditional
1,4.427515360339837,4.426973477031518
2,4.474204428200043,4.356632919704117
3,4.446684377680103,4.367847475343053
4,4.4279299387596485,4.313275136015223
5,4.436510874517581,4.391783306978988
6,4.483480515651801,4.41682970626072
