Layer,Baseline,Conditional
1,3.5201459986063464,3.5169721704813464
2,3.5451161824614066,3.4820303287146226
3,3.537522278355489,3.4422655579974273
4,3.5873885244693398,3.524249487430317
5,3.587170347341338,3.498952037883255
6,3.599670933613851,3.432284268465909
7,3.579814302369211,3.3057700103183962
8,3.584527514606561,3.455902256646655
9,3.5894450846912522,3.430508909667131
10,3.575966260854417,3.430508909667131
11,3.5538817940608918,3.482150095813679
12,3.598627368540952,3.5235761115726842
