Layer,Baseline,Conditional
1,4.493236927798027,4.51641814295669
2,4.565453975932676,4.562078302556818
3,4.586468076624143,4.545400105864065
4,4.611492700069682,4.56273074011042
5,4.600288613582761,4.57648385573006
6,4.664522305156518,4.571990495685034
