Layer,Baseline,Conditional
1,4.433172052556818,4.4340497862617925
2,4.448055417828044,4.417423097796956
3,4.5003090493674955,4.4063530164558316
4,4.476348929298885,4.414455302583619
5,4.455130889526158,4.395341143599914
6,4.463137696987564,4.38977741745283
7,4.464935459771655,4.395215932541809
8,4.452618293042453,4.386825535350558
9,4.528948461620926,4.414486291273585
10,4.559805659037307,4.426667777792667
11,4.559805659037307,4.4348554922009
12,4.546683623901158,4.452537052422813
