Layer,Baseline,Conditional
1,3.5888292305424527,3.5540668886685247
2,3.627598024764151,3.580504847636149
3,3.633575491798885,3.5892365391831045
4,3.645964267527873,3.607601525648585
5,3.6392568912146226,3.5961784245015007
6,3.6654645288379073,3.6233944508469125
