Layer,Baseline,Conditional
1,4.4639538720786875,4.490908169623713
2,4.55426705885506,4.493361720090052
3,4.577541240083619,4.5366478947791595
4,4.589266690340909,4.5042534070808316
5,4.570165513105703,4.526914096001287
6,4.577769048831475,4.549746897780874
7,4.581803441252144,4.547442009273156
8,4.620587043042453,4.565417543283662
9,4.629489172384219,4.547535812875214
10,4.617144785859777,4.560688417935249
11,4.652811092945969,4.5554312285591765
12,4.651932940474914,4.571516033715695
