Layer,Baseline,Conditional
1,3.60799809712693,3.612771192913808
2,3.6370989896012005,3.6279464381432245
3,3.6358912682246998,3.633099354765223
4,3.6585012864493995,3.63047955416488
5,3.6490706743138936,3.615646859589408
6,3.6454851991316466,3.6252541910109346
7,3.6643166910109346,3.6204593193878645
8,3.634351465346269,3.610284559927101
9,3.6198973353076758,3.6013518606614494
10,3.6289619458887223,3.587158203125
11,3.616843693047813,3.6255992542613638
12,3.6562537688947256,3.6416053313947256
